mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q15638692,Alfesibea,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q6933700,Damon,fiktive Figur
http://www.wikidata.org/entity/Q1242355,Nysa,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q99463925,Al Dschann,Stammvater der Dschinn
http://www.wikidata.org/entity/Q15783248,Anaxibia,von Apollon verfolgte Nymphe
http://www.wikidata.org/entity/Q55412668,Arcas,[2]
http://www.wikidata.org/entity/Q55423468,Arctophonvs,"ARCTOPHŎNVS , einer von den Hunden des Orions , Nat. Comes lib. VIII. c. 12 . welcher so viel als einer heißt, der Bäre erwürget und tödtet."
http://www.wikidata.org/entity/Q55457654,Arethvsa,[3]
http://www.wikidata.org/entity/Q55536085,Argo,[1]
http://www.wikidata.org/entity/Q55794533,Aslo,"ASLO , eines von den Pferden der Sonne, dessen Namen aber vermuthlich verderbt ist; wiewohl man ihn auch nicht zu verbessern weis. Hygin. Fab. 183. & ad eum Munck. l. c ."
http://www.wikidata.org/entity/Q750206,Astovidatu,Dämon aus der altiranischen Mythologie
http://www.wikidata.org/entity/Q55837842,Astylvs,"ASTYLVS , i , ( ⇒ Tab. XIV.) einer von den Centauren und zugleich auch ein guter Wahrsager, welcher den Seinigen die Händel wider die Lapithen widerrieth, jedoch aber, zu ihrem großen Nachtheile, kein Gehör fand. Ovid. Metam . XII. v. 308 ."
http://www.wikidata.org/entity/Q22132618,Atla,germanische Sagengestalt
http://www.wikidata.org/entity/Q56054779,Banvs,"BANVS , i, Gr . Βάνος, ου, einer von des Aktäons Hunden, welche ihn endlich zerrissen, als er von der Diana in einen Hirsch verwandelt worden. Anonymus ap. Apollod. lib. III. c. 4. §. 4 ."
http://www.wikidata.org/entity/Q866715,Bisterk Ding,Dämon
http://www.wikidata.org/entity/Q56102516,Borax,"BORAX , ăcis , einer von Aktäons vielen Hunden, welche endlich ihren Herrn selbst zerrissen und fraßen. Hyg. Fab. 181 . Sieh Actæon."
http://www.wikidata.org/entity/Q56102785,Bores,"BORES , æ, Gr . Βόρης, ου, ebenfalls einer von Aktäons Hunden, wo er nicht eben vorhergehender seyn soll. Poet. vetus ap. Apollod. lib. III. c. 4. §. ult ."
http://www.wikidata.org/entity/Q57380428,Chediaetros,"CHEDIAETROS , i , einer von Aktäons Hunden. Sieh Actæon ."
http://www.wikidata.org/entity/Q57521134,Cirrha,"CIRRHA , æ, Gr . Κίῤῥα, ας, eine Nymphe, von welcher die Stadt Cirrha in Phocis ihren Namen bekommen. Pausan. Phoc. c. 37. p. 684 ."
http://www.wikidata.org/entity/Q57759291,Cleis,"CLEIS , ĭdis , eine Nymphe, welcher Jupiter, mit ihren Schwestern, den jungen Bacchus, in der Insel Naxus, aufzuerziehen gab. Diod. Sic. L. V. c. 52. p. 225 ."
http://www.wikidata.org/entity/Q58641094,Coran,"CORAN , ánis , einer von Aktäons Hunden, welche endlich selbst ihren Herrn anfielen und zerrissen, als er von der Diana in einen Hirsch war verwandelt worden. Hygin. Fab. 181 ."
http://www.wikidata.org/entity/Q58840903,Crenaevs,"CRENAEVS , i , ( ⇒ Tab. XIV.) einer von den Centauren auf des Pirithous Beylager, welcher auszureißen suchte, als er sah, daß es zu sehr über sein Geschlecht hergieng. Indem er aber sich aufder Flucht noch einmal umsah, so warf ihn Dryas mi"
http://www.wikidata.org/entity/Q59208740,Cyllo,"CYLLO , us , einer von Aktäons Hunden, welche ihren Herrn selbst zerrissen, nachdem er von der Diana in einen Hirsch verwandelt worden. Hygin. Fab. 181 . Sieh Actæon ."
http://www.wikidata.org/entity/Q59208741,Cyllopotes,"CYLLOPOTES , æ , auch einer von Aktäons Hunden. Hygin. Fab. 181 . Sieh Actæon ."
http://www.wikidata.org/entity/Q59218690,Cyprivs,"CYPRIVS , i , einer von Aktäons vielen Hunden. Hygin. Fab. 181 . Sieh Actæon ."
http://www.wikidata.org/entity/Q1193140,Der Elfstier,mythischer Stier im irischen und schottischen Volksmärchen
http://www.wikidata.org/entity/Q59871455,Dicte,"DICTE , es , eine Nymphe, welche sich von einem Berge in Kreta ins Meer stürzete, als sie auf andere Art den Liebesverfolgungen des Minos nicht entgehen konnte, der aber hernach deren Tugend und Keuschheit bewunderte, und daher solchen Berg von ihr&"
http://www.wikidata.org/entity/Q11060107,Dijiang,chinesische Gottheit
http://www.wikidata.org/entity/Q60185624,Dorylas,"DORỸLAS , æ , ( ⇒ Tab. XIII.) ein Centaur, welcher auf des Pirithous Hochzeit mit dem Peleus zusammen gerieth, und solchem eins mit einem Paare ertappeter Ochsenhörner versetzen ch wollte. Indem aber dieser ihn mit dem Wurfspieße wid"
http://www.wikidata.org/entity/Q60193672,Draco,"DRACO , ónis , einer von Aktäons vielen Hunden, welche endlich diesen ihren eigenen Herrn, als er von der Diana war in einen Hirsch verwandelt worden, anfielen und zerrissen. Hygin. Fab. 181 ."
http://www.wikidata.org/entity/Q60194675,Dromas,"DROMAS , ădis , einer von den vielen Hunden des Aktäons. Ovid. Metam . III. v. 217. & Hygin. Fab. 181 ."
http://www.wikidata.org/entity/Q60194631,Dromivs,"DROMIVS , i , auch einer von Aktäons vielen Hunden, die ihren Herrn zerrissen. Hygin. Fab. 181 . sieh Actæon ."
http://www.wikidata.org/entity/Q60195974,Dryalvs,"DRYĂLVS , i, Gr . Δρύαλος, ου, des Peuceus Sohn, ein Centaur, welcher sich mit auf des Pirithous Hochzeit befand, und bey dem entstandenen Gefechte mit den Lapithen seine Person au"
http://www.wikidata.org/entity/Q60228094,Echnobas,"ECHNŎBAS , æ , einer von Aktäons vielen Hunden, dessen Namen aber nicht allzurichtig zu seyn scheint. Hygin. Fab. 181. ad eum Muncker. l. c . Sieh. Actæon ."
http://www.wikidata.org/entity/Q60240864,Egnatia,"EGNATIA , æ , war eine Nymphe, von der die Stadt Egnatia , in Apulien, ihren Namen hatte, woselbst sie auch göttlich verehret wurde. Und zwar hatte sie ihren Altar, auf welchem das Opferholz, wenn es geziemend geleget wurde, alsdenn von sich selbst"
http://www.wikidata.org/entity/Q1344559,Entenwick,Fabelwesen aus Sachsenheim in Baden-Württemberg
http://www.wikidata.org/entity/Q60465996,Eperie,"EPERIE , es , eine Nymphe, in welche sich Aesakus verliebete, die ihm aber immer aus dem Wege gieng. Sieh Aesacus ."
http://www.wikidata.org/entity/Q18060939,Erawan,thailändische Form des mythischen Elefanten Airavata
http://www.wikidata.org/entity/Q60619127,Erythrevs,"ERYTHREṼS , ei , eines von den vier Pferden der Sonne, welches so viel, als roth , heißt, weil die Sonne frühmorgens roth aufzugehen pflegt. Fulgent. Mythol. lib. I. c. 11 . Sieh Sol ."
http://www.wikidata.org/entity/Q1372114,Euboios,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q15808782,Eunosta,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q1374107,Euphorbos,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q60691485,Evdromvs,"EVDRŎMVS , i , einer von Aktäons vielen Hunden. Hygin. Fab. 181 . Sieh Actæon ."
http://www.wikidata.org/entity/Q1545450,Greif,Bezeichnung eines Fabelwesens in der altägyptischen Mythologie
http://www.wikidata.org/entity/Q1566760,Habergeiß,Dämonengestalt alpenländischer Mythologie-Kultur
http://www.wikidata.org/entity/Q101363532,Hadburg,Meerweib im Nibelungenlied
http://www.wikidata.org/entity/Q1398720,Halios geron,griechische Gottheit
http://www.wikidata.org/entity/Q1575492,Hanghuhn,Fantasiewesen
http://www.wikidata.org/entity/Q62108371,Harpalos,"HARPALOS , i , einer von Aktäons vielen Hunden. Ovid. Metam . III. 222 . Er heißt so viel als Rapax . Cnipp. ad eumd. l. c . Sieh Actæon ."
http://www.wikidata.org/entity/Q65054738,Helimvs,"HELĬMVS , i , ( ⇒ Tab. XIV.) einer von den Centauren, der auf des Pirithous Hochzeit von dem Cäneus erleget wurde. Ovid. Metam . XII. v. 460 ."
http://www.wikidata.org/entity/Q53717274,Hija,Geistwesen der albanischen Mythologie
http://www.wikidata.org/entity/Q11488089,Kage-onna,Wesentlich des japanischen Volksglauben
http://www.wikidata.org/entity/Q1776640,Klushund,Sagengestalt aus dem österreichischen Bundesland Vorarlberg
http://www.wikidata.org/entity/Q22965484,Kornmann,deutsche Sagengestalt
http://www.wikidata.org/entity/Q1792788,Kuperan,Riese der Siegfried-Sage
http://www.wikidata.org/entity/Q107552580,Latreus,in der klassischen Mythologie ein Kentaur
http://www.wikidata.org/entity/Q1900292,Mo-O,mythisches Wesen
http://www.wikidata.org/entity/Q39618949,Morro,fiktive Figur aus Lego Ninjago
http://www.wikidata.org/entity/Q56462861,Muggestutz,Zwerg aus dem gleichnamigen Buch
http://www.wikidata.org/entity/Q2377658,Pihi,mythologischer Vogel
http://www.wikidata.org/entity/Q1656820,Popelmann,Sagengestalt
http://www.wikidata.org/entity/Q4901802,Roggenmuhme,deutsche Sagengestalt
