mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q1398720,Halios geron,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q977164,Aamon,démon
http://www.wikidata.org/entity/Q304227,Aba,nymphe grecque
http://www.wikidata.org/entity/Q276765,Abaddon,ange exterminateur
http://www.wikidata.org/entity/Q29394159,Abalam,prince de l’enfer de la suite de Paimon
http://www.wikidata.org/entity/Q305611,Abas,"personnage de la mythologie grecque, fils d'Ixion"
http://www.wikidata.org/entity/Q308141,Abdiel,ange mentionné dans Paradis perdu de Milton
http://www.wikidata.org/entity/Q16525118,Abundia,fée bienfaisante qui apporte l'abondance
http://www.wikidata.org/entity/Q4748,Abyzou,démone
http://www.wikidata.org/entity/Q4668463,Acaste,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q391379,Achelous,dieu fluvial de la mythologie grecque
http://www.wikidata.org/entity/Q12626619,Acheron,rivière mythologique
http://www.wikidata.org/entity/Q3615214,Achiroe,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q419156,Acis,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q12898582,Actaea,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q2657005,Adamastor,personnage mythologique
http://www.wikidata.org/entity/Q4682505,Adhene,personnages mythiques de l'île de Man
http://www.wikidata.org/entity/Q4679171,Admete,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q366515,Adramelech,"Démon, Grand chancelier des Enfers"
http://www.wikidata.org/entity/Q4057954,Adrasteia,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q321298,Aegina,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q21272183,Aegle,figure de la mythologie grecque
http://www.wikidata.org/entity/Q1371462,Aethon,"rapace qui, sur l'ordre de Zeus, rongeait chaque jour le foie de Prométhée enchaîné"
http://www.wikidata.org/entity/Q410531,Aethra,Océanide
http://www.wikidata.org/entity/Q390448,Aganippe,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q390597,Agares,démon
http://www.wikidata.org/entity/Q381459,Agave,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q391614,Agave,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q518658,Agrius,centaure de la mythologie grecque
http://www.wikidata.org/entity/Q14912115,Agrius,géant de la mythologie grecque
http://www.wikidata.org/entity/Q402963,Ahti,Dieu de la mer et de la pêche dans la mythologie finlandaise
http://www.wikidata.org/entity/Q4696456,Ahöla,esprit étant dans la religion Hopi
http://www.wikidata.org/entity/Q21286569,Aigeiros,"hamadryade de la mythologie grecque, fille d'Hamadryas et d'Oxylos"
http://www.wikidata.org/entity/Q2607548,Aim,démon
http://www.wikidata.org/entity/Q1660457,Akabeko,vache légendaire et jouet traditionnel japonais
http://www.wikidata.org/entity/Q431296,Akateko,esprit du folklore japonais
http://www.wikidata.org/entity/Q763268,Alcyone,"personnage de la mythologie grecque, fille d'Atlas et de Pléione"
http://www.wikidata.org/entity/Q2742049,Alignak,divinité inuit
http://www.wikidata.org/entity/Q867336,Alkonost,créature de la mythologie slave
http://www.wikidata.org/entity/Q2141167,Allocer,démon
http://www.wikidata.org/entity/Q107785,Amalthea,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q455210,Amarok,gigantesque esprit du loup dans la mythologie inuit
http://www.wikidata.org/entity/Q12898684,Amatheia,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q3613853,Ambrosia,Nymphe de la pluie ou Hyade dans la mythologie grecque
http://www.wikidata.org/entity/Q3078917,Amdusias,démon
http://www.wikidata.org/entity/Q474474,Ampelos,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q12748314,Ampelus,"hamadryade de la mythologie grecque, fille d'Hamadryas et d'Oxylos"
http://www.wikidata.org/entity/Q21452535,Amphinome,Une des Néréides
http://www.wikidata.org/entity/Q2197827,Amphiro,Une des Océanides
http://www.wikidata.org/entity/Q12898698,Amphithoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q180222,Amphitrite,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q3231630,Amy,démon
http://www.wikidata.org/entity/Q3615218,Ancio,centaure
http://www.wikidata.org/entity/Q1782874,Andras,démon
http://www.wikidata.org/entity/Q2742962,Andrealphus,démon
http://www.wikidata.org/entity/Q2846937,Andromalius,démon
http://www.wikidata.org/entity/Q47534,Anubis,dieu funéraire de l'Égypte antique
http://www.wikidata.org/entity/Q614030,Anytos,page d'homonymie d'un projet Wikimédia
http://www.wikidata.org/entity/Q511292,Anzar,Dieu berbère de l'eau
http://www.wikidata.org/entity/Q2858114,Apalala,dragon d'eau de la mythologie bouddhiste
http://www.wikidata.org/entity/Q448351,Apasmara,Démon de l'ignorance dans l'hindouisme
http://www.wikidata.org/entity/Q12898780,Apseudes,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q643456,Arethusa,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q420269,Arges,cyclope du mythe grec d'Ouranos
http://www.wikidata.org/entity/Q106076725,Argie,Une des Océanides
http://www.wikidata.org/entity/Q2861030,Argolis,fleuve
http://www.wikidata.org/entity/Q658560,Ariel,ange ou archange dans le mysticisme juif et chrétien
http://www.wikidata.org/entity/Q2861418,Aristaeus,géant dans la mythologie grecque
http://www.wikidata.org/entity/Q4803671,Asbeel,fallen angel
http://www.wikidata.org/entity/Q907685,Ash,divinité égyptienne
http://www.wikidata.org/entity/Q724824,Ashaqlun,démon manichéenne
http://www.wikidata.org/entity/Q605744,Asia,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q733322,Asmodeus,démon
http://www.wikidata.org/entity/Q622781,Asopus,dieu fleuve de la mythologie grecque
http://www.wikidata.org/entity/Q830172,Astaroth,démon
http://www.wikidata.org/entity/Q18642285,Asteria,Divinité primordiale de la mythologie grecque
http://www.wikidata.org/entity/Q2868617,Astraios,géant dans la mythologie grecque
http://www.wikidata.org/entity/Q3514860,Athis,"personnage de la mythologie gréco-romaine, demi-dieu et guerrier indien ennemi de Persée"
http://www.wikidata.org/entity/Q130818,Atlas,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q4816856,Atlas of Mauretania,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q774101,Aura,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q12898908,Autonoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q4830640,Axius,divinité aquatique grecque
http://www.wikidata.org/entity/Q721135,Azazel,démon
http://www.wikidata.org/entity/Q30158710,Aziel,démon évoqué par Faust
http://www.wikidata.org/entity/Q16154505,Aziza,page d'homonymie d'un projet Wikimédia
http://www.wikidata.org/entity/Q515882,Azure Dragon,créature astrologique chinoise
http://www.wikidata.org/entity/Q590467,Baal,divinité du Proche-Orient
http://www.wikidata.org/entity/Q1757445,Baal-berith,démon
http://www.wikidata.org/entity/Q83879,Baal-hamon,Divinité centrale de la religion carthaginoise
http://www.wikidata.org/entity/Q187002,Baba Yaga,figure marquante du conte russe
http://www.wikidata.org/entity/Q797477,Bael,démon
http://www.wikidata.org/entity/Q794547,Bahamut,créature de la mythologie arabe
http://www.wikidata.org/entity/Q804542,Baku,"créature surnaturelle japonaise originaire du folklore chinois, proche du tapir."
http://www.wikidata.org/entity/Q2139336,Balam,démon
http://www.wikidata.org/entity/Q21286610,Balanus,"hamadryade de la mythologie grecque, fille d'Hamadryas et d'Oxylos"
http://www.wikidata.org/entity/Q1992451,Balaur,animal mythologique roumain
http://www.wikidata.org/entity/Q9164605,Balius,cheval immortel de la mythologie grecque
http://www.wikidata.org/entity/Q4851176,Ball-tailed cat,félin légendaire d'Amérique du Nord
http://www.wikidata.org/entity/Q2245378,Baloo,personnage de fiction
http://www.wikidata.org/entity/Q2458513,Barbas,démon
http://www.wikidata.org/entity/Q2331361,Barbatos,démon
http://www.wikidata.org/entity/Q204753,Barong,créature mythologique balinaise
http://www.wikidata.org/entity/Q126319,Batea,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q3235546,Bathin,démon
http://www.wikidata.org/entity/Q804202,Bayun the Cat,personnage de contes russes
http://www.wikidata.org/entity/Q3254885,Bedawang,tortue balinaise mythique portant le monde sur son dos
http://www.wikidata.org/entity/Q378477,Behemoth,créature biblique
http://www.wikidata.org/entity/Q952150,Beleth,démon
http://www.wikidata.org/entity/Q815594,Belial,terme biblique devenu le nom d'un démon
http://www.wikidata.org/entity/Q816170,Belphegor,divinité devenue démon
http://www.wikidata.org/entity/Q793088,Benthesikyme,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q2622635,Berehynia,esprit de l'eau slave
http://www.wikidata.org/entity/Q821900,Berlingr,nain dans la mythologie nordique
http://www.wikidata.org/entity/Q826973,Beroe,Néréide ou Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q12721690,Bhaia,Démon de la mythologie védique
http://www.wikidata.org/entity/Q757984,Bi'an,"fils du dragon à corps de tigre dans la mythologie chinoise, utilisé dans les tribunaux et prisons, pour déterminer qui est bon de qui est mauvais"
http://www.wikidata.org/entity/Q855440,Bienor,centaure de la mythologie grecque
http://www.wikidata.org/entity/Q3235542,Bifrons,démon
http://www.wikidata.org/entity/Q2634191,Biscione,animal héraldique
http://www.wikidata.org/entity/Q125696,Black Tortoise,symbole de la mythologie chinoise
http://www.wikidata.org/entity/Q3267941,Blóðughófi,cheval du dieu Freyr
http://www.wikidata.org/entity/Q11917047,Boiet,Esprit frappeur des Iles baléares
http://www.wikidata.org/entity/Q4810860,Bolbe,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q3502914,Bolg,personnage du légendaire de Tolkien
http://www.wikidata.org/entity/Q2910190,Bonkers D. Bobcat,Personnage principal de la série Bonkers (Disney)
http://www.wikidata.org/entity/Q2530829,Botis,démon
http://www.wikidata.org/entity/Q598810,Bran the Blessed,personnage de la mythologie celtique brittonique
http://www.wikidata.org/entity/Q3643892,Brathy,personne de la mythologie phénicienne
http://www.wikidata.org/entity/Q849647,Briareus,"L'un des Hécatonchires, dans la mythologie grecque"
http://www.wikidata.org/entity/Q10435642,Brise,Type de un Loas
http://www.wikidata.org/entity/Q831577,Britomartis,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q921527,Brizo,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q667670,Buchis,manifestation de la déification du ka du dieu égyptien Montou sous la forme d'un taureau sacré
http://www.wikidata.org/entity/Q930253,Buer,démon
http://www.wikidata.org/entity/Q55606125,Bull of Heaven,créature mythologique mésopotamienne
http://www.wikidata.org/entity/Q2729046,Bune,démon
http://www.wikidata.org/entity/Q9182061,Bunis,Démon des tartares
http://www.wikidata.org/entity/Q332242,Buraq,animal fantastique dans la tradition islamique
http://www.wikidata.org/entity/Q3649172,Cabeiro,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q1024984,Caca,déesse de la mythologie romaine
http://www.wikidata.org/entity/Q754686,Cacus,"fils de Vulcain, Géant qui vomit des tourbillons de flamme et de fumée"
http://www.wikidata.org/entity/Q5016347,Cadejo,créature mythique du folklore méso-américain
http://www.wikidata.org/entity/Q2746267,Caim,démon
http://www.wikidata.org/entity/Q12899130,Callianassa,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q97653378,Callianira,Une des Néréides
http://www.wikidata.org/entity/Q913161,Callirrhoe,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q2934546,Calybe,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q654379,Calydonian Boar,créature fantastique de la mythologie grecque
http://www.wikidata.org/entity/Q48961,Calypso,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q2723859,Camael,ange
http://www.wikidata.org/entity/Q857144,Camenae,Nymphes des sources et des bois dans la religion romaine archaïque.
http://www.wikidata.org/entity/Q176130,Campe,monstre de la mythologie grecque
http://www.wikidata.org/entity/Q29490124,Carya,"hamadryade de la mythologie grecque, fille d'Hamadryas et d'Oxylos"
http://www.wikidata.org/entity/Q2603986,Cath Palug,chat légendaire de la légende arthurienne
http://www.wikidata.org/entity/Q1478704,Cephissus,dieu fleuve de la mythologie grecque
http://www.wikidata.org/entity/Q4219870,Cephissus,dieu fleuve d'Argolide
http://www.wikidata.org/entity/Q83496,Cerberus,chien à trois têtes gardant l'entrée des Enfers de la mythologie grecque
http://www.wikidata.org/entity/Q12879053,Cerceis,une des Océanides
http://www.wikidata.org/entity/Q739737,Cernunnos,dieu gaulois
http://www.wikidata.org/entity/Q466882,Ceryneian Hind,créature fantastique de la mythologie grecque de la stature d'un taureau
http://www.wikidata.org/entity/Q209489,Ceto,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q5065673,Ceto,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q97667465,Ceto,Une des Néréides
http://www.wikidata.org/entity/Q5764126,Chakor,Oiseau légendaire
http://www.wikidata.org/entity/Q752213,Chalchiuhtlicue,divinité de la mythologie aztèque
http://www.wikidata.org/entity/Q192082,Charybdis,personnage de la mythologie grecque transformé en gouffre marin par Zeus
http://www.wikidata.org/entity/Q1069104,Chelone,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q2962899,Cheval Gauvin,cheval légendaire
http://www.wikidata.org/entity/Q182790,Chimera,créature fantastique composite
http://www.wikidata.org/entity/Q215605,Chinese dragon,créature légendaire
http://www.wikidata.org/entity/Q7382381,Chione,fille de Borée
http://www.wikidata.org/entity/Q1074481,Chios,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q183417,Chiron,centaure de la mythologie grecque
http://www.wikidata.org/entity/Q18643251,Chlidanope,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q1075258,Chloris,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q57424690,Chryseis,Unes des Océanides
http://www.wikidata.org/entity/Q1088867,Chrysomallos,"bélier ailé à la toison d'or, créature de la mythologie grecque"
http://www.wikidata.org/entity/Q3697327,Chrysopeleia,hamadryade de la mythologie grecque
http://www.wikidata.org/entity/Q5116118,Chullachaqui,créature maléfique de la jungle amazonienne
http://www.wikidata.org/entity/Q183571,Chupacabra,créature fantastique d'Amérique latine
http://www.wikidata.org/entity/Q187602,Circe,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q17581463,Cleito,"personnage de la mythologie grecque, fille d'Événor"
http://www.wikidata.org/entity/Q2980753,Cleocharia,reine mythique de Laconie dans la mythologie grecque
http://www.wikidata.org/entity/Q12899376,Clio,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q782481,Clitumnus,dieu romain
http://www.wikidata.org/entity/Q2344103,Clymene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q866674,Clytie,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q1101752,Clíodhna,prénom féminin
http://www.wikidata.org/entity/Q1780711,Comus,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q2720272,Conde Estruch,personnage de légende
http://www.wikidata.org/entity/Q644692,Corcyra,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q10854746,Coronis,Hyade
http://www.wikidata.org/entity/Q2998824,Coulobre,créature fantastique qui hantait la Fontaine de Vaucluse
http://www.wikidata.org/entity/Q58838290,Cranto,Une des Néréides
http://www.wikidata.org/entity/Q58840962,Creneis,Une des Néréides
http://www.wikidata.org/entity/Q631865,Crinisus,Divinité de l'eau
http://www.wikidata.org/entity/Q3231732,Crocell,démon
http://www.wikidata.org/entity/Q1751992,Crommyonian Sow,créature fantastique de la mythologie grecque
http://www.wikidata.org/entity/Q44204,Cronus,"Titan, époux de sa sœur Rhéa et le père d'Hestia, Déméter, Héra, Hadès, Poséidon et Zeus"
http://www.wikidata.org/entity/Q1707194,Cuco,créature des folklores hispanique et portugais
http://www.wikidata.org/entity/Q5011,Cupid,dieu de l'amour dans la mythologie romaine
http://www.wikidata.org/entity/Q1423058,Cyane,naïade de la mythologie grecque
http://www.wikidata.org/entity/Q12899524,Cydippe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q7595427,Cyllene,naïade de la mythologie grecque
http://www.wikidata.org/entity/Q12752732,Cymatolege,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711583,Cymo,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711584,Cymodoce,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711586,Cymothoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q26399341,Cyrene,"nymphe de la mythologie grecque, mère de Diomède et de Lycaon"
http://www.wikidata.org/entity/Q4154083,Daeira,Une des Océanides
http://www.wikidata.org/entity/Q623065,Dagon,dieu sémitique
http://www.wikidata.org/entity/Q10466497,Danais,nymphe de la mythologie grecque et romaine
http://www.wikidata.org/entity/Q3701850,Daniel,personnage dans le film « Steel »
http://www.wikidata.org/entity/Q3231467,Dantalion,démon
http://www.wikidata.org/entity/Q194015,Daphne,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q3116535,Decarabia,démon
http://www.wikidata.org/entity/Q59661541,Deiopea,Une des Néréides
http://www.wikidata.org/entity/Q106676348,Deogen,esprit maléfique qui hante la forêt de Sonian
http://www.wikidata.org/entity/Q59773387,Dero,Une des Néréides
http://www.wikidata.org/entity/Q12899636,Dexamene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q199923,Dione,"divinité grecque archaïque, mère d'Aphrodite"
http://www.wikidata.org/entity/Q60172446,Dione,"dans la mythologie grecque une Néréide, fille de Nérée et de Doris"
http://www.wikidata.org/entity/Q41680,Dionysus,dieu grec de la vigne
http://www.wikidata.org/entity/Q3032423,Divona,divinité gauloise aquatique
http://www.wikidata.org/entity/Q755126,Dog,signe en astrologie chinoise
http://www.wikidata.org/entity/Q1117913,Donn Cúailnge,taureau fabuleux de la mythologie irlandaise
http://www.wikidata.org/entity/Q726279,Doris,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q12899696,Doris,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12876506,Doto,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q60388380,Doug The Pug St.Patrick Day,chien
http://www.wikidata.org/entity/Q731434,Dragon,signe de l'astrologie chinoise
http://www.wikidata.org/entity/Q1260264,Droopy,chien d'allure humaine présent dans les dessins animés MGM et créé par Tex Avery
http://www.wikidata.org/entity/Q5308511,Drosera,naïade
http://www.wikidata.org/entity/Q12899700,Drymo,Néréide de la mythologie grecque
