mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q1001037,Varuna,Vedic deity associated with waters
http://www.wikidata.org/entity/Q100307653,Orc of Ebuda,Sea monster in Orlando furioso
http://www.wikidata.org/entity/Q100370011,Chinese auspicious symbol,
http://www.wikidata.org/entity/Q10047443,Fuzhu,
http://www.wikidata.org/entity/Q101231178,Amikuk,Mythical creature from Inuit folklore
http://www.wikidata.org/entity/Q101363532,Hadburg,Meerweib im Nibelungenlied
http://www.wikidata.org/entity/Q101435468,Siuru,mythological bird in Estonian mythology
http://www.wikidata.org/entity/Q1018287,Buxenus,Gaulish nature god
http://www.wikidata.org/entity/Q102220497,Brexit,Dutch government zoomorphic personification of Brexit
http://www.wikidata.org/entity/Q1024984,Caca,Roman mythical character
http://www.wikidata.org/entity/Q10266050,Dianho,
http://www.wikidata.org/entity/Q10279191,Facanito,
http://www.wikidata.org/entity/Q10280218,Farronca,Portuguese bogeyman
http://www.wikidata.org/entity/Q10283145,Fogacho (folclore),
http://www.wikidata.org/entity/Q1028374,Mizuchi,water deity
http://www.wikidata.org/entity/Q10284426,Fradinho da mão furada,
http://www.wikidata.org/entity/Q1028571,Kamoebas,kaiju de fiction
http://www.wikidata.org/entity/Q10285722,応声虫,
http://www.wikidata.org/entity/Q102884,Mnemosyne,personification of memory in Greek mythology
http://www.wikidata.org/entity/Q10292359,Guajara,
http://www.wikidata.org/entity/Q10296926,kamikiri,ёкай в японском фольклоре
http://www.wikidata.org/entity/Q10297137,担生,
http://www.wikidata.org/entity/Q10297974,Homem das sete dentaduras,
http://www.wikidata.org/entity/Q10297983,Homem dos Pés de Louça,
http://www.wikidata.org/entity/Q10297984,Homem do chapéu de ferro,
http://www.wikidata.org/entity/Q10299840,Iaera,Oreade della mitologia greca
http://www.wikidata.org/entity/Q1030030,Eunice,Nereid of Greek mythology
http://www.wikidata.org/entity/Q10301256,文車妖妃,
http://www.wikidata.org/entity/Q10309898,旋龟,
http://www.wikidata.org/entity/Q103107,Leto,Greek mythological figure and mother of Apollo and Artemis
http://www.wikidata.org/entity/Q10311105,日及,
http://www.wikidata.org/entity/Q10311535,João Galafuz,
http://www.wikidata.org/entity/Q10313058,Jupi-pari,
http://www.wikidata.org/entity/Q10313707,Kameosa,
http://www.wikidata.org/entity/Q10317930,Lyce,νύμφη
http://www.wikidata.org/entity/Q10319562,Loira do Bonfim,
http://www.wikidata.org/entity/Q10323516,Manaul,Philippine mythical creature
http://www.wikidata.org/entity/Q10325870,Maria Gancha,
http://www.wikidata.org/entity/Q10326138,Maria da grade,
http://www.wikidata.org/entity/Q10326139,Maria da manta,
http://www.wikidata.org/entity/Q10328172,Medo (folclore),
http://www.wikidata.org/entity/Q10329896,朱厭,
http://www.wikidata.org/entity/Q10333083,Mulher marinha,
http://www.wikidata.org/entity/Q10335992,Akva nigrulo,
http://www.wikidata.org/entity/Q10340572,Olhapim,
http://www.wikidata.org/entity/Q10340576,Olharapo,
http://www.wikidata.org/entity/Q10343548,Pai-do-Mato,
http://www.wikidata.org/entity/Q10344768,Pardalo,
http://www.wikidata.org/entity/Q10347914,Peeira (Mythological Creature),
http://www.wikidata.org/entity/Q10353732,Pretinho do barrete encarnado,
http://www.wikidata.org/entity/Q1035630,Hermus,mythical character
http://www.wikidata.org/entity/Q10363049,樂山通遠王,
http://www.wikidata.org/entity/Q10363799,横公鱼,
http://www.wikidata.org/entity/Q10364210,樹妖,
http://www.wikidata.org/entity/Q10364619,Rosemunho,
http://www.wikidata.org/entity/Q10364717,Rou-rou,
http://www.wikidata.org/entity/Q10366170,欽原,
http://www.wikidata.org/entity/Q10366937,Salamanca do Jarau,
http://www.wikidata.org/entity/Q10369313,Secular das nuvens,
http://www.wikidata.org/entity/Q10370981,毛倡妓,
http://www.wikidata.org/entity/Q10371883,毛龙,Type of dragon in Chinese legend
http://www.wikidata.org/entity/Q10373477,Shuixian Zunwang,
http://www.wikidata.org/entity/Q10373688,Шуй Де Син Цзюнь,Taoist deity
http://www.wikidata.org/entity/Q10376404,Símbolos Anasazi,
http://www.wikidata.org/entity/Q10378163,江君大神,
http://www.wikidata.org/entity/Q10378266,Tartaranho,
http://www.wikidata.org/entity/Q10378344,Tatro azeiteiro,
http://www.wikidata.org/entity/Q10379114,Teiniaguá,
http://www.wikidata.org/entity/Q10380850,洞冥草,
http://www.wikidata.org/entity/Q10384895,Tritonis,Greek mythical character
http://www.wikidata.org/entity/Q10387184,Uirapuru,
http://www.wikidata.org/entity/Q10388176,Uphir,
http://www.wikidata.org/entity/Q10389591,Velha da égua branca,
http://www.wikidata.org/entity/Q10393999,Worg,Dwarf of Scandinavian folklore
http://www.wikidata.org/entity/Q10395344,Zorra berradeira,
http://www.wikidata.org/entity/Q10399855,火鼠,中國に伝わる怪物の一種。火光獣とも呼ばれる
http://www.wikidata.org/entity/Q104002,Urania,Muse of astronomy and astrology in Greek mythology
http://www.wikidata.org/entity/Q10403775,Aea,Naiade della mitologia greca
http://www.wikidata.org/entity/Q10408292,犀渠,
http://www.wikidata.org/entity/Q10408795,狙如,
http://www.wikidata.org/entity/Q10409490,狸力,
http://www.wikidata.org/entity/Q10410143,猼訑,
http://www.wikidata.org/entity/Q10410564,独脚鬼,
http://www.wikidata.org/entity/Q10410984,玄蜂,
http://www.wikidata.org/entity/Q10411096,玄鱼,
http://www.wikidata.org/entity/Q10411954,Anippe,"Ναϊάδα, κόρη του Νείλου και μητέρα του Βούσιρη"
http://www.wikidata.org/entity/Q10416807,Aranda,serpiente mitológica australiana
http://www.wikidata.org/entity/Q10417993,王馀鱼,
http://www.wikidata.org/entity/Q10420712,Asterius,mythical figure of Miletus
http://www.wikidata.org/entity/Q10427163,Bi Fang bird,bird in Chinese mythology
http://www.wikidata.org/entity/Q10429751,白粉婆,奈良県吉野郡十津川流域に伝わる老婆の妖怪
http://www.wikidata.org/entity/Q10435640,Brisa,ninfa della mitologia greca
http://www.wikidata.org/entity/Q10435642,Brise,Type of a Loas
http://www.wikidata.org/entity/Q10441691,破镜兽,
http://www.wikidata.org/entity/Q10446362,Huodou,
http://www.wikidata.org/entity/Q10451485,Chremetes,divinità fluviale della mitologia greca
http://www.wikidata.org/entity/Q104536634,Långben Rese,mytologisk jätte
http://www.wikidata.org/entity/Q1045732,Mimas,giant (Greek mythology)
http://www.wikidata.org/entity/Q104650584,Booker,fictional dog from the Animal Crossing series
http://www.wikidata.org/entity/Q10466497,Danais,Greek nymph
http://www.wikidata.org/entity/Q10466820,Daramulum,"Sky hero associated with Baiame, and an emu-wife"
http://www.wikidata.org/entity/Q104732671,Yozora Mel,Japanese virtual YouTuber
http://www.wikidata.org/entity/Q10478981,羅羅,
http://www.wikidata.org/entity/Q1048023,Mares of Diomedes,herd of horses in Greek mythology
http://www.wikidata.org/entity/Q10490777,Eupheme,"ancient Greek nymph, mother of Krotos"
http://www.wikidata.org/entity/Q10493519,Father Raven,
http://www.wikidata.org/entity/Q10499989,花妖,
http://www.wikidata.org/entity/Q105000091,Pudsey Bear,mascot for Children in Need
http://www.wikidata.org/entity/Q10508895,菌人,
http://www.wikidata.org/entity/Q10513763,蔓金苔,
http://www.wikidata.org/entity/Q10514048,藍蛇,
http://www.wikidata.org/entity/Q10514345,虛耗,
http://www.wikidata.org/entity/Q10521939,He Bo,Chinese Water God of the Yellow River
http://www.wikidata.org/entity/Q10522015,Hé-no,Iroquois thunder spirit
http://www.wikidata.org/entity/Q105227168,Thisbe,Boeotian nymph in Greek mythology
http://www.wikidata.org/entity/Q1052353,Purusha,mythical creature
http://www.wikidata.org/entity/Q105243035,Salvanèl,creatura del folclore trentino
http://www.wikidata.org/entity/Q10527263,Diting,divine mythical creature in Chinese Buddhism
http://www.wikidata.org/entity/Q10527935,Hydaspes,Greek mythological god of an Indian river with a swift stream
http://www.wikidata.org/entity/Q10529511,讹兽,
http://www.wikidata.org/entity/Q105316467,Watermeisie,mythical creature in Southern Africa
http://www.wikidata.org/entity/Q10532342,豆狸,日本に伝わるタヌキの妖怪
http://www.wikidata.org/entity/Q10533615,貓鬼,
