Name,Meaning in English,Source Name,Gender,Source
Acachollohuatl,Unkown,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/node/202310
Acachollohuatzin,Orthographic Variant of Acachollohuatl,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/node/202310
Acacitli,Reed hare,Wikipedia,male,https://en.wikipedia.org/wiki/Acacitli
Acalan,Canoe,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Acamapichtli,Handful of Reed Arrows,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acamapichtli
Acatl,Reed,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acatl
Acatliacapanecatl,Name or title of a high judge ,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acatliacapanecatl
Acatlo,Unknown,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Acaxoch,Maybe reed and flower combined,Nahuatl Dictionary,female,https://nahuatl.uoregon.edu/content/acaxoch
Achitomecatl,Unknown,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/achitomecatl
Achitometl,Unknown,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Acmachquichiuh,who didn’t do anything? / Who in Heaven's Name Did It? (Nickname),Blog,unknown,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Acol,Shoulder,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Acolmiztli,Arm of the Puma,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Acolnahuacatl,Deity of the Underworld,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acolnahuacatl-tzacualcatl
Acoltzin,Unknown,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acoltzin
Acopa,Upwards,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Acotlehuac,Unknown,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acotlehuac
Acuecucyoticihuati,"Aztec deity of water, rivers, seas, streams, storms, and baptism.",Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Acuixoc,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acuixoc
Acxocuauhtli,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acxocuauhtli
Acxocueitl,Unknown,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Acxocuetzin,,Nahuatl Dictionary,female,https://nahuatl.uoregon.edu/content/acxocuetzin
Acxomolciul,"the name of a deity linked to the merchant's deity, Yacateuctli; Seler said that this was another name for Tezcatlipoca",Nahuatl Dictionary,unkown,https://nahuatl.uoregon.edu/content/acxomolciul
Acxotecatl,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acxotecatl
Ahuachpahin,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/ahuachpahin
Ahuachpitzactzin,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/ahuachpitzactzin
Ahuatl,"an oak, a thorn",Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/ahuatl-0
Ahuatzi,Small oak,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Ahuelittoc,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/ahuelittoc
Ahuilizatl,,Nahuatl Dictionary,unkown,https://nahuatl.uoregon.edu/content/ahuilizatl
