item,itemLabel
http://www.wikidata.org/entity/Q45749,安
http://www.wikidata.org/entity/Q55267,姬
http://www.wikidata.org/entity/Q202664,冯
http://www.wikidata.org/entity/Q249832,班
http://www.wikidata.org/entity/Q403153,艾
http://www.wikidata.org/entity/Q450129,苏
http://www.wikidata.org/entity/Q512778,闵姓
http://www.wikidata.org/entity/Q592176,司馬
http://www.wikidata.org/entity/Q673233,竺
http://www.wikidata.org/entity/Q686223,李
http://www.wikidata.org/entity/Q703401,全
http://www.wikidata.org/entity/Q705016,申
http://www.wikidata.org/entity/Q709443,葉
http://www.wikidata.org/entity/Q709486,盧
http://www.wikidata.org/entity/Q709747,杜
http://www.wikidata.org/entity/Q710706,曹
http://www.wikidata.org/entity/Q712260,梅
http://www.wikidata.org/entity/Q713706,高
http://www.wikidata.org/entity/Q716212,袁
http://www.wikidata.org/entity/Q717555,尹
http://www.wikidata.org/entity/Q717763,羅
http://www.wikidata.org/entity/Q717767,韩
http://www.wikidata.org/entity/Q717770,宋
http://www.wikidata.org/entity/Q718600,金
http://www.wikidata.org/entity/Q804886,趙
http://www.wikidata.org/entity/Q804909,張
http://www.wikidata.org/entity/Q804943,王
http://www.wikidata.org/entity/Q804970,劉
http://www.wikidata.org/entity/Q804988,陳
http://www.wikidata.org/entity/Q814607,貝
http://www.wikidata.org/entity/Q832915,汤
http://www.wikidata.org/entity/Q837421,嚴
http://www.wikidata.org/entity/Q839482,邢
http://www.wikidata.org/entity/Q842157,魏
http://www.wikidata.org/entity/Q842166,彭
http://www.wikidata.org/entity/Q845069,楊
http://www.wikidata.org/entity/Q845104,黃
http://www.wikidata.org/entity/Q845135,周
http://www.wikidata.org/entity/Q845163,吳
http://www.wikidata.org/entity/Q845673,單
http://www.wikidata.org/entity/Q846855,卓
http://www.wikidata.org/entity/Q855179,畢
http://www.wikidata.org/entity/Q855302,卞姓
http://www.wikidata.org/entity/Q856300,孟
http://www.wikidata.org/entity/Q856307,史
http://www.wikidata.org/entity/Q865993,邴
http://www.wikidata.org/entity/Q866970,辛
http://www.wikidata.org/entity/Q869739,龐
http://www.wikidata.org/entity/Q911493,沈
http://www.wikidata.org/entity/Q985852,傅
http://www.wikidata.org/entity/Q985855,萬
http://www.wikidata.org/entity/Q985858,于
http://www.wikidata.org/entity/Q986819,柯
http://www.wikidata.org/entity/Q987813,甯
http://www.wikidata.org/entity/Q987817,喬
http://www.wikidata.org/entity/Q993469,許
http://www.wikidata.org/entity/Q1015565,歐
http://www.wikidata.org/entity/Q1037764,甄
http://www.wikidata.org/entity/Q1043021,毛
http://www.wikidata.org/entity/Q1043068,石
http://www.wikidata.org/entity/Q1043077,孔
http://www.wikidata.org/entity/Q1043107,夏
http://www.wikidata.org/entity/Q1078753,董
http://www.wikidata.org/entity/Q1130812,文
http://www.wikidata.org/entity/Q1132594,胡
http://www.wikidata.org/entity/Q1134877,陸
http://www.wikidata.org/entity/Q1207872,蔡
http://www.wikidata.org/entity/Q1322275,佘
http://www.wikidata.org/entity/Q1410170,丁
http://www.wikidata.org/entity/Q1594283,莊
http://www.wikidata.org/entity/Q1680909,邵
http://www.wikidata.org/entity/Q1813165,夏侯
http://www.wikidata.org/entity/Q1846986,岳
http://www.wikidata.org/entity/Q1924163,麻姓
http://www.wikidata.org/entity/Q1929446,戴
http://www.wikidata.org/entity/Q1929459,呂
http://www.wikidata.org/entity/Q1929472,廖
http://www.wikidata.org/entity/Q1930521,管
http://www.wikidata.org/entity/Q1930547,聶
http://www.wikidata.org/entity/Q1931708,馬
http://www.wikidata.org/entity/Q1946438,余
http://www.wikidata.org/entity/Q1948499,姜
http://www.wikidata.org/entity/Q2168308,雷
http://www.wikidata.org/entity/Q2233698,姚
http://www.wikidata.org/entity/Q2233706,唐
http://www.wikidata.org/entity/Q2233716,黎
http://www.wikidata.org/entity/Q2233776,蕭
http://www.wikidata.org/entity/Q2240226,常
http://www.wikidata.org/entity/Q2264383,元
http://www.wikidata.org/entity/Q2273846,賴
http://www.wikidata.org/entity/Q2281015,祿姓
http://www.wikidata.org/entity/Q2354177,谭
http://www.wikidata.org/entity/Q2423270,諸姓
http://www.wikidata.org/entity/Q2424986,鍾
http://www.wikidata.org/entity/Q2499021,华
http://www.wikidata.org/entity/Q2510063,樂
http://www.wikidata.org/entity/Q2529940,區
http://www.wikidata.org/entity/Q2541846,錢
http://www.wikidata.org/entity/Q2578531,邓
http://www.wikidata.org/entity/Q2603704,曾
http://www.wikidata.org/entity/Q2652694,伍
http://www.wikidata.org/entity/Q2662728,薄
http://www.wikidata.org/entity/Q2686283,廣
http://www.wikidata.org/entity/Q2772822,龍
http://www.wikidata.org/entity/Q2960259,谈姓
http://www.wikidata.org/entity/Q3083948,何
http://www.wikidata.org/entity/Q3431389,太史姓
http://www.wikidata.org/entity/Q3447118,利
http://www.wikidata.org/entity/Q3496666,易
http://www.wikidata.org/entity/Q3498693,江
http://www.wikidata.org/entity/Q3543591,孫
http://www.wikidata.org/entity/Q3570980,謝
http://www.wikidata.org/entity/Q3594961,富
http://www.wikidata.org/entity/Q3594969,康
http://www.wikidata.org/entity/Q4067893,敖
http://www.wikidata.org/entity/Q4077520,鮑
http://www.wikidata.org/entity/Q4097588,卜
http://www.wikidata.org/entity/Q4130148,翁
http://www.wikidata.org/entity/Q4133392,甘
http://www.wikidata.org/entity/Q4140836,郭
http://www.wikidata.org/entity/Q4147079,勾姓
http://www.wikidata.org/entity/Q4151201,顾
http://www.wikidata.org/entity/Q4151740,桂
http://www.wikidata.org/entity/Q4153205,葛
http://www.wikidata.org/entity/Q4153220,耿
http://www.wikidata.org/entity/Q4153496,笪姓
http://www.wikidata.org/entity/Q4154462,黨
http://www.wikidata.org/entity/Q4160975,狄
http://www.wikidata.org/entity/Q4178159,饒
http://www.wikidata.org/entity/Q4181174,汝
http://www.wikidata.org/entity/Q4181267,芮
http://www.wikidata.org/entity/Q4181640,荣
http://www.wikidata.org/entity/Q4195066,羿姓
http://www.wikidata.org/entity/Q4200473,應
