item,itemLabel
http://www.wikidata.org/entity/Q45749,An
http://www.wikidata.org/entity/Q55267,Ji
http://www.wikidata.org/entity/Q202664,Feng
http://www.wikidata.org/entity/Q249832,Ban
http://www.wikidata.org/entity/Q403153,Ài
http://www.wikidata.org/entity/Q450129,Su
http://www.wikidata.org/entity/Q512778,Min
http://www.wikidata.org/entity/Q592176,Sima
http://www.wikidata.org/entity/Q673233,Zhu
http://www.wikidata.org/entity/Q686223,Li
http://www.wikidata.org/entity/Q703401,Quan
http://www.wikidata.org/entity/Q705016,Shēn
http://www.wikidata.org/entity/Q709443,Ye
http://www.wikidata.org/entity/Q709486,Lu
http://www.wikidata.org/entity/Q709747,Du
http://www.wikidata.org/entity/Q710706,Cao
http://www.wikidata.org/entity/Q712260,Mei
http://www.wikidata.org/entity/Q713706,Gao
http://www.wikidata.org/entity/Q716212,Yuan
http://www.wikidata.org/entity/Q717555,Yin
http://www.wikidata.org/entity/Q717763,Luo
http://www.wikidata.org/entity/Q717767,Han
http://www.wikidata.org/entity/Q717770,Song
http://www.wikidata.org/entity/Q718600,Jin
http://www.wikidata.org/entity/Q804886,Zhao
http://www.wikidata.org/entity/Q804909,Zhang
http://www.wikidata.org/entity/Q804943,Wang
http://www.wikidata.org/entity/Q804970,Liu
http://www.wikidata.org/entity/Q804988,Chen
http://www.wikidata.org/entity/Q814607,Bei
http://www.wikidata.org/entity/Q832915,Tang
http://www.wikidata.org/entity/Q837421,Yan
http://www.wikidata.org/entity/Q839482,Xing
http://www.wikidata.org/entity/Q842157,Wei
http://www.wikidata.org/entity/Q842166,Peng
http://www.wikidata.org/entity/Q845069,Yang
http://www.wikidata.org/entity/Q845104,Huang
http://www.wikidata.org/entity/Q845135,Zhou
http://www.wikidata.org/entity/Q845163,Wu
http://www.wikidata.org/entity/Q845673,Shan
http://www.wikidata.org/entity/Q846855,Zhuo
http://www.wikidata.org/entity/Q855179,Bi
http://www.wikidata.org/entity/Q855302,Bian
http://www.wikidata.org/entity/Q856300,Meng
http://www.wikidata.org/entity/Q856307,Shi
http://www.wikidata.org/entity/Q865993,Bing
http://www.wikidata.org/entity/Q866970,Xin
http://www.wikidata.org/entity/Q869739,Pang
http://www.wikidata.org/entity/Q911493,Shen
http://www.wikidata.org/entity/Q985852,Fu
http://www.wikidata.org/entity/Q985855,Wan
http://www.wikidata.org/entity/Q985858,Yu
http://www.wikidata.org/entity/Q986819,Ke
http://www.wikidata.org/entity/Q987813,Ning
http://www.wikidata.org/entity/Q987817,Qiao
http://www.wikidata.org/entity/Q993469,Xu
http://www.wikidata.org/entity/Q1015565,Ou
http://www.wikidata.org/entity/Q1037764,Zhen
http://www.wikidata.org/entity/Q1043021,Mao
http://www.wikidata.org/entity/Q1043068,Shi
http://www.wikidata.org/entity/Q1043077,Kong
http://www.wikidata.org/entity/Q1043107,Xia
http://www.wikidata.org/entity/Q1078753,Dong
http://www.wikidata.org/entity/Q1130812,Wen
http://www.wikidata.org/entity/Q1132594,Hú
http://www.wikidata.org/entity/Q1134877,Lu
http://www.wikidata.org/entity/Q1207872,Cai
http://www.wikidata.org/entity/Q1322275,She
http://www.wikidata.org/entity/Q1410170,Ding
http://www.wikidata.org/entity/Q1594283,Zhuang
http://www.wikidata.org/entity/Q1680909,Shao
http://www.wikidata.org/entity/Q1813165,Xiahou
http://www.wikidata.org/entity/Q1846986,Yue
http://www.wikidata.org/entity/Q1924163,Ma
http://www.wikidata.org/entity/Q1929446,Dai
http://www.wikidata.org/entity/Q1929459,Lü
http://www.wikidata.org/entity/Q1929472,Liào
http://www.wikidata.org/entity/Q1930521,Guan
http://www.wikidata.org/entity/Q1930547,Nie
http://www.wikidata.org/entity/Q1931708,Ma
http://www.wikidata.org/entity/Q1946438,Yu
http://www.wikidata.org/entity/Q1948499,Jiang
http://www.wikidata.org/entity/Q2168308,Lei
http://www.wikidata.org/entity/Q2233698,Yao
http://www.wikidata.org/entity/Q2233706,Tang
http://www.wikidata.org/entity/Q2233716,Lí
http://www.wikidata.org/entity/Q2233776,Xiao
http://www.wikidata.org/entity/Q2240226,Chang
http://www.wikidata.org/entity/Q2264383,Yuan
http://www.wikidata.org/entity/Q2273846,Lai
http://www.wikidata.org/entity/Q2281015,Lu
http://www.wikidata.org/entity/Q2354177,Tan
http://www.wikidata.org/entity/Q2423270,Zhū
http://www.wikidata.org/entity/Q2424986,Zhong
http://www.wikidata.org/entity/Q2499021,Hua
http://www.wikidata.org/entity/Q2510063,Yue
http://www.wikidata.org/entity/Q2529940,Ou
http://www.wikidata.org/entity/Q2541846,Qian
http://www.wikidata.org/entity/Q2578531,Deng
http://www.wikidata.org/entity/Q2603704,Zeng
http://www.wikidata.org/entity/Q2652694,Wu
http://www.wikidata.org/entity/Q2662728,Bo
http://www.wikidata.org/entity/Q2686283,Guang
http://www.wikidata.org/entity/Q2772822,Long
http://www.wikidata.org/entity/Q2960259,Tan
http://www.wikidata.org/entity/Q3083948,He
http://www.wikidata.org/entity/Q3431389,Taishi
http://www.wikidata.org/entity/Q3447118,Li
http://www.wikidata.org/entity/Q3496666,Yi
http://www.wikidata.org/entity/Q3498693,Jiang
http://www.wikidata.org/entity/Q3543591,Sun
http://www.wikidata.org/entity/Q3570980,Xie
http://www.wikidata.org/entity/Q3594961,Fù
http://www.wikidata.org/entity/Q3594969,Kang
http://www.wikidata.org/entity/Q4067893,Ao
http://www.wikidata.org/entity/Q4077520,Bao
http://www.wikidata.org/entity/Q4097588,Bu
http://www.wikidata.org/entity/Q4130148,Weng
http://www.wikidata.org/entity/Q4133392,Gan
http://www.wikidata.org/entity/Q4140836,Guo
http://www.wikidata.org/entity/Q4147079,Q4147079
http://www.wikidata.org/entity/Q4151201,Gu
